,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,wp_pop_density_log,wp_pop_density_log_minmax,count_cyclones_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
28922,182762,2023,4,36.75,120.75,CHN,2381.458432,1438706.6052604315,604.1283718952737,36.5,120.5,5.0,6.405440620473664,0.7046441329349555,3.5232206646747777,1.5464123726913952,0.650799457272025,0.6507994572720252
28924,183484,2023,4,37.25,121.75,CHN,2184.372736,779161.3514281835,356.6979840880891,37.5,121.5,3.0,5.879689010487528,0.6468073073309705,1.9404219219929115,0.7373564486688284,0.5368413010246933,0.5368413010246934
28925,183482,2023,4,37.25,120.75,CHN,2460.066048,804346.1162004962,326.9611874260118,37.5,120.5,1.0,5.79289527036422,0.6372593110610936,0.6372593110610936,-0.4200054165929982,0.37382312099523485,0.3738231209952349
28926,183481,2023,4,37.25,120.25,CHN,2363.303168,838953.675373735,354.99198187243957,37.5,120.5,1.0,5.874908207768161,0.6462813813083486,0.6462813813083486,-0.40778363955846725,0.3755445980100701,0.37554459801007023
28927,183483,2023,4,37.25,121.25,CHN,2439.539712,1041815.961661576,427.0543154255388,37.5,121.5,3.0,6.0592500927298705,0.6665604432256699,1.9996813296770095,0.7746165363174802,0.5420895054614683,0.5420895054614684
28928,184202,2023,4,37.75,120.75,CHN,1433.848448,801246.7026676304,558.8085015436934,37.5,120.5,1.0,6.327594763717899,0.6960804744398447,0.6960804744398447,-0.3423437583783447,0.38476201794719084,0.38476201794719095
28948,180639,2023,4,35.25,139.25,JPN,1413.8784,2622690.145118193,1854.9616042781279,35.5,139.5,3.0,7.526158225782013,0.8279319126742206,2.483795738022662,1.0538675431965936,0.5814229173175158,0.5814229173175159
28950,180637,2023,4,35.25,138.25,JPN,2523.607808,293007.7258888084,116.10668066565451,35.5,138.5,1.0,4.763085319921286,0.52397209067467,0.52397209067467,-0.5846570517324008,0.35063140308492713,0.3506314030849272
28952,181358,2023,4,35.75,138.75,JPN,2508.204032,508650.3256103662,202.79463676835607,35.5,138.5,1.0,5.317112804291004,0.5849194855749935,0.5849194855749935,-0.4933502261206356,0.3634922662101605,0.36349226621016056
28953,181359,2023,4,35.75,139.25,JPN,2508.204032,5449912.34156883,2172.8345350051773,35.5,139.5,3.0,7.684247953931393,0.845323030196425,2.535969090589275,1.0816612242115207,0.5853377476150803,0.5853377476150804
28954,181357,2023,4,35.75,138.25,JPN,2508.204032,250126.13797717105,99.72320225389504,35.5,138.5,1.0,4.612376182855536,0.5073928964090951,0.5073928964090951,-0.6107439534870741,0.34695697819302695,0.346956978193027
28958,181350,2023,4,35.75,134.75,JPN,764.005696,79781.08986960833,104.42473176222018,35.5,134.5,6.0,4.657997255282412,0.5124115743545409,3.074469446127245,1.3479675224521488,0.6228478551904221,0.6228478551904222
