,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,count_cyclones_multiply_pop_density,count_cyclones_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_cyclones_multiply_pop_density_log_minmax,boxcoxb_log_minmax
7232,157830,2023,4,19.75,-105.25,MEX,1748.759552,28804.475070738503,16.47137540309401,19.5,-105.5,3.0,49.41412620928203,3.9202714177358797,3.0305916485981736,0.29985349774262826,0.3121785216479398,0.29985349774262826
7233,158550,2023,4,20.25,-105.25,MEX,2879.660544,21250.2889409917,7.379442339225835,20.5,-105.5,1.0,7.379442339225835,2.1257813656479043,1.1471780696637688,0.13833157842292657,0.1470252523760066,0.13833157842292657
7236,154970,2023,4,17.75,-95.25,MEX,2943.618048,87810.28689113107,29.830733967266077,17.5,-95.5,3.0,89.49220190179824,4.505263680162347,3.6540413309532886,0.35332066524082106,0.36601742954609257,0.35332066524082106
7239,154969,2023,4,17.75,-95.75,MEX,2943.618048,108201.93138716336,36.75814240257144,17.5,-95.5,3.0,110.27442720771431,4.711999467350717,3.8752529615143416,0.37229181822798263,0.3850440555727673,0.37229181822798263
7328,159270,2023,4,20.75,-105.25,MEX,2041.680128,563149.3503484484,275.82643462377297,20.5,-105.5,1.0,275.82643462377297,5.623390719992031,4.85536888095206,0.4563467524357645,0.4689226174987134,0.4563467524357645
7330,159990,2023,4,21.25,-105.25,MEX,1308.878464,64699.39079520111,49.431167655915466,21.5,-105.5,3.0,148.2935029677464,5.005914186972324,4.190484675875028,0.39932615211166717,0.4120940672327217,0.39932615211166717
7344,160710,2023,4,21.75,-105.25,MEX,2620.104448,198351.2176650404,75.70355365659087,21.5,-105.5,3.0,227.1106609697726,5.429830866338318,4.646582298487493,0.4384411740194943,0.4511086192580921,0.4384411740194943
7346,161429,2023,4,22.25,-105.75,MEX,863.779456,12477.071183042704,14.444741764086022,22.5,-105.5,2.0,28.889483528172043,3.3975066970623207,2.4769293626707074,0.2523713111012138,0.2640666346086047,0.2523713111012138
7347,161430,2023,4,22.25,-105.25,MEX,2827.343872,85113.32205491042,30.103632917740264,22.5,-105.5,2.0,60.20726583548053,4.114265905273256,3.236910805243908,0.3175474692349098,0.3300325207828207,0.3175474692349098
7348,161431,2023,4,22.25,-104.75,MEX,2860.583936,26260.17991193553,9.180006774650199,22.5,-104.5,1.0,9.180006774650199,2.3204256766084224,1.3488311668733821,0.1556253877393526,0.1649390570599104,0.1556253877393526
7349,161432,2023,4,22.25,-104.25,MEX,2860.583936,21569.256352053075,7.540158525190388,22.5,-104.5,1.0,7.540158525190388,2.144779570296858,1.1668255182690737,0.14001654748333842,0.14877372437473468,0.14001654748333842
7350,162150,2023,4,22.75,-105.25,MEX,2850.252032,21517.70942141685,7.549405870019866,22.5,-105.5,2.0,15.098811740039732,2.7787454643002203,1.826524220053065,0.1965924380241472,0.2071198488794283,0.1965924380241472
7351,162152,2023,4,22.75,-104.25,MEX,2850.252032,12417.592259223607,4.356664645726181,22.5,-104.5,1.0,4.356664645726181,1.6783415138054807,0.6868571269633414,0.09885436375290481,0.10584577955120937,0.09885436375290481
