,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
17960,17960,147301,2023,4,12.25,30.25,SDN,3020.435968,36446.68017822133,12.06669519379175,12.5,30.5,10232.0,3.0,104.0,4042.0,1254.936300154342,7.135636629304396,7.068711757261714,0.5885213229270339,0.6089105744798594,0.5885213229270339
17961,17961,147302,2023,4,12.25,30.75,SDN,3020.435968,46201.67551044246,15.29635986325351,12.5,30.5,10232.0,3.0,104.0,4042.0,1590.821425778365,7.372634190375625,7.362795656796383,0.6152571427190144,0.6348833109242796,0.6152571427190144
18067,18067,145838,2023,4,11.25,18.75,TCD,3031.433984,17737.498115427847,5.851190627619436,11.5,18.5,10248.0,3.0,166.0,4042.0,971.2976441848265,6.879661975882332,6.752273693647314,0.5597532364812794,0.580858124573909,0.5597532364812794
18071,18071,145837,2023,4,11.25,18.25,TCD,3031.433984,20025.178746540623,6.605843588293237,11.5,18.5,10248.0,3.0,166.0,4042.0,1096.5700356566774,7.000853956723496,6.901935287119273,0.5733593039986726,0.5941396425918043,0.5733593039986726
18072,18072,146558,2023,4,11.75,18.75,TCD,3026.070016,55923.7268135085,18.480645364389513,11.5,18.5,10248.0,3.0,166.0,4042.0,3067.7871304886594,8.029037691017871,8.1826069763249,0.6897880086964508,0.7068190517239581,0.6897880086964508
18093,18093,146557,2023,4,11.75,18.25,TCD,3026.070016,84999.91341916723,28.089209096200644,11.5,18.5,10248.0,3.0,166.0,4042.0,4662.808709969307,8.4475877130317,8.709217856378563,0.7376633721960814,0.7526882554467097,0.7376633721960814
18170,18170,135812,2023,4,4.25,45.75,SOM,3082.355968,50798.53796215721,16.48042552175376,4.5,45.5,10220.0,3.0,12.0,4042.0,197.7651062610451,5.2921237569909865,4.820183128671491,0.3841025964812137,0.40687864745044244,0.3841025964812137
18175,18175,136532,2023,4,4.75,45.75,SOM,3080.243968,48332.23792694244,15.69104214765317,4.5,45.5,10220.0,3.0,12.0,4042.0,188.29250577183802,5.243293468270687,4.761665951820535,0.3787826701013671,0.401527300315456,0.3787826701013671
19713,19713,128742,2023,4,-0.75,110.75,IDN,3090.618112,24489.33042673332,7.923764612537584,-0.5,110.5,5154.0,1.0,6.0,2022.0,47.542587675225505,3.882441509038737,3.156745657718281,0.2328758053205837,0.2523905365561805,0.2328758053205837
19760,19760,128741,2023,4,-0.75,110.25,IDN,3090.618112,53727.37478005001,17.384022494219437,-0.5,110.5,5154.0,1.0,6.0,2022.0,104.30413496531662,4.656852686795504,4.063671531001677,0.3153264486613323,0.3372588251941572,0.3153264486613323
19764,19764,129461,2023,4,-0.25,110.25,IDN,3078.939648,115610.89942645592,37.54893328342885,-0.5,110.5,5154.0,1.0,6.0,2022.0,225.2935997005731,5.421833269873534,4.9759086845944775,0.39825995227917066,0.42109360804837037,0.39825995227917066
19773,19773,129462,2023,4,-0.25,110.75,IDN,3090.959872,107577.8042492268,34.8040119264372,-0.5,110.5,5154.0,1.0,6.0,2022.0,208.8240715586232,5.346269425122324,4.885138914575938,0.3900078710954842,0.4128125109114239,0.3900078710954842
19907,19907,133038,2023,4,2.25,98.75,IDN,2876.613632,299161.04462808813,103.9976454606776,2.5,98.5,5138.0,1.0,8.0,2021.0,831.9811636854208,6.72501102928863,6.561710404893546,0.5424287050970399,0.5639098139727247,0.5424287050970399
19909,19909,133037,2023,4,2.25,98.25,IDN,2546.545152,188184.34228434716,73.89790129444646,2.5,98.5,5138.0,1.0,8.0,2021.0,591.1832103555716,6.3838160639578705,6.142985039194904,0.5043614530735052,0.5265180076155465,0.5043614530735052
19917,19917,133757,2023,4,2.75,98.25,IDN,3087.311872,323423.6714904729,104.75898934076749,2.5,98.5,5138.0,1.0,8.0,2021.0,838.0719147261399,6.732296417604557,6.570676949524834,0.5432438735635836,0.5647082250186846,0.5432438735635836
19919,19919,133758,2023,4,2.75,98.75,IDN,2544.451072,287151.10966495937,112.85385395100236,2.5,98.5,5138.0,1.0,8.0,2021.0,902.8308316080189,6.806642209703608,6.662238818218528,0.5515679661952614,0.5728558348726104,0.5515679661952614
19942,19942,135915,2023,4,4.25,97.25,IDN,3082.355968,83131.0091665763,26.969957405833377,4.5,97.5,10186.0,2.0,4.0,4042.0,107.8798296233335,4.690244793530574,4.1031697203981645,0.31891731669417933,0.34091829064871215,0.31891731669417933
19948,19948,135916,2023,4,4.25,97.75,IDN,3082.355968,221185.2762123422,71.75851151152384,4.5,97.5,10186.0,2.0,4.0,4042.0,287.03404604609534,5.663078688586883,5.266615245223221,0.4246887306978965,0.44753187032560304,0.4246887306978965
19950,19950,136635,2023,4,4.75,97.25,IDN,3080.243968,131641.93556051518,42.73750291474158,4.5,97.5,10186.0,2.0,4.0,4042.0,170.95001165896633,5.147203804682672,4.64668784897712,0.36832975566943316,0.3909967636461169,0.36832975566943316
20016,20016,136636,2023,4,4.75,97.75,IDN,2607.94496,226695.58210406735,86.92498713779119,4.5,97.5,10186.0,2.0,4.0,4042.0,347.69994855116477,5.8542118061369,5.49789787898666,0.445715148081161,0.4684782887844622,0.445715148081161
20172,20172,150337,2023,4,14.25,108.25,VNM,2995.68,297314.16137185507,99.24763705464372,14.5,108.5,5133.0,1.5,7.0,2021.0,694.733459382506,6.544966626328941,6.340458162479236,0.5223141728457996,0.5441786158741942,0.5223141728457996
20173,20173,151057,2023,4,14.75,108.25,VNM,2988.923904,81685.92515260677,27.329543265818373,14.5,108.5,5133.0,1.5,7.0,2021.0,191.30680286072862,5.259092028259849,4.78059214103783,0.3805032919547334,0.4032586760855068,0.3805032919547334
20182,20182,150338,2023,4,14.25,108.75,VNM,2995.68,239942.0740283162,80.09602962543269,14.5,108.5,5133.0,1.5,7.0,2021.0,560.6722073780288,6.3309184188377,6.07828212827777,0.49847916788538627,0.5207209159111987,0.49847916788538627
20389,20389,150274,2023,4,14.25,76.75,IND,2994.848768,575762.0926677788,192.25080705904242,14.5,76.5,10210.0,3.0,16.0,4042.0,3076.0129129446786,8.03171457191534,8.185965642519516,0.6900933524920915,0.7071124130637493,0.6900933524920915
20392,20392,150273,2023,4,14.25,76.25,IND,2995.68,860690.1749187724,287.3104520238385,14.5,76.5,10210.0,3.0,16.0,4042.0,4596.967232381416,8.433369578803914,8.6912814132731,0.7360327303576958,0.7511300796943496,0.7360327303576958
20394,20394,150993,2023,4,14.75,76.25,IND,2988.923904,619538.1054892102,207.27797876021475,14.5,76.5,10210.0,3.0,16.0,4042.0,3316.447660163436,8.106950989190704,8.280414053544758,0.6986798670915148,0.7153576271836031,0.6986798670915148
20395,20395,150994,2023,4,14.75,76.75,IND,2985.599488,587861.8016211332,196.89908307658888,14.5,76.5,10210.0,3.0,16.0,4042.0,3150.385329225422,8.055597422197385,8.215936701733156,0.6928180879821286,0.7097297521330347,0.6928180879821286
20561,20561,140046,2023,4,7.25,2.75,BEN,3066.156032,555051.966111334,181.02534910765235,7.5,2.5,10230.0,2.0,10.0,4042.0,1810.2534910765235,7.501774421073489,7.523478370774952,0.6298651647542737,0.6490358834702865,0.6298651647542737
20562,20562,140045,2023,4,7.25,2.25,BEN,3066.156032,839848.5685244086,273.90927263952386,7.5,2.5,10230.0,2.0,10.0,4042.0,2739.0927263952385,7.915747040559584,8.040574147818633,0.6768754891280644,0.6944034462946445,0.6768754891280644
20565,20565,140765,2023,4,7.75,2.25,BEN,3062.640128,257490.03562939828,84.07453205987585,7.5,2.5,10230.0,2.0,10.0,4042.0,840.7453205987586,6.735477498891498,6.574592419986459,0.5435998376705221,0.5650568420487526,0.5435998376705221
