,pgid,lat,lon,count_fire,wp_pop_density,wp_pop_density_log,wp_pop_density_log_minmax,count_fire_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
6381,112234.0,-12.25,136.75,12,4.150000960723306,1.6389969012238421,0.17004864786338889,2.0405837743606665,0.7483069167766293,0.4234378295041962,0.4234378295041962
6382,112244.0,-12.25,141.75,38,0.23011475187240488,0.20710745923789967,0.021487742520763256,0.8165342157890038,-0.19996799941570767,0.37060578808835654,0.37060578808835654
6383,112245.0,-12.25,142.25,32,0.001121432045175217,0.0011208037099720938,0.0001162852445045562,0.0037211278241457983,-3.9404450226393264,0.16220943210390223,0.16220943210390223
6384,112246.0,-12.25,142.75,33,0.005497297029162869,0.005482242041141397,0.0005687917076962186,0.018770126353975215,-3.084591059430963,0.20989234689795291,0.20989234689795291
6385,112247.0,-12.25,143.25,1,0.001078163887381943,0.001077583086126468,0.0001118010330705548,0.0001118010330705548,-5.26661633061502,0.08832332980267987,0.08832332980267987
6386,112527.0,-11.75,-76.75,2,317.7500431790347,5.764407231936265,0.5980668143989551,1.1961336287979103,0.18125319914027516,0.3918450867419345,0.3918450867419345
6387,112528.0,-11.75,-76.25,2,12.44289841700995,2.598450967872111,0.26959359916789755,0.5391871983357951,-0.5929029172757785,0.348713873096584,0.348713873096584
6390,112531.0,-11.75,-74.75,1,9.324196292540075,2.3344902949011197,0.24220724139363287,0.24220724139363287,-1.2917993799670688,0.30977566411120494,0.30977566411120494
6391,112532.0,-11.75,-74.25,4,14.366536567632595,2.732192194984072,0.2834694733791285,1.133877893516514,0.12670349756462518,0.3888059131397912,0.3888059131397912
6392,112533.0,-11.75,-73.75,1,6.873201572846248,2.063464786928845,0.2140878952662791,0.2140878952662791,-1.3930809392359236,0.30413287904689174,0.30413287904689174
6400,112542.0,-11.75,-69.25,27,1.3065582435965426,0.8357564756355835,0.08671112100259712,2.341200267070122,0.900863382846996,0.43193733676317436,0.43193733676317436
6401,112543.0,-11.75,-68.75,9,1.1116479658247447,0.747468669102753,0.07755111459104021,0.6979600313193619,-0.3510960993789056,0.3621858605968511,0.3621858605968511
6402,112544.0,-11.75,-68.25,3,0.1993098089215599,0.1817462320944003,0.01885647312624025,0.056569419378720745,-2.385592841805621,0.24883622504192546,0.24883622504192546
6405,112547.0,-11.75,-66.75,4,2.5212233679415506,1.2588084769399577,0.1306034680497405,0.522413872198962,-0.6219420891889584,0.3470959891823293,0.3470959891823293
6406,112548.0,-11.75,-66.25,16,5.651688717469938,1.894870764906512,0.19659598575666332,3.145535772106613,1.2383219742714924,0.4507384523192604,0.4507384523192604
6407,112549.0,-11.75,-65.75,13,1.5917689976142024,0.9523406532276731,0.09880692285981643,1.2844899971776136,0.25459401502861717,0.3959311855686786,0.3959311855686786
6408,112550.0,-11.75,-65.25,16,2.271067591746286,1.1851164122823061,0.12295779407443404,1.9673247051909446,0.7081900510872228,0.42120276467923295,0.42120276467923295
6409,112551.0,-11.75,-64.75,51,0.1696346627932624,0.15669144602537374,0.01625699750162919,0.8291068725830886,-0.18508060957617664,0.37143522181389893,0.37143522181389893
6410,112552.0,-11.75,-64.25,2,0.16926263601317207,0.1563733245042471,0.016223991865997153,0.032447983731994305,-2.750634899973297,0.2284983285033585,0.2284983285033585
6411,112553.0,-11.75,-63.75,4,0.9631256658511207,0.6745379304898929,0.0699844294560441,0.2799377178241764,-1.1708349505758553,0.316515057544811,0.316515057544811
6412,112554.0,-11.75,-63.25,1,3.221095880980686,1.440094781771156,0.14941222295932968,0.14941222295932968,-1.6789268881606991,0.28820730223971125,0.28820730223971125
6413,112555.0,-11.75,-62.75,4,6.757225703513778,2.04862475783853,0.21254821762614623,0.8501928705045849,-0.1605460412755006,0.3728021369420411,0.3728021369420411
6415,112557.0,-11.75,-61.75,1,24.48983724645901,3.2382798333719167,0.3359769055432576,0.3359769055432576,-1.0149994346656446,0.3251972532773375,0.3251972532773375
6416,112558.0,-11.75,-61.25,1,21.498082520961635,3.11343008428824,0.3230235369298638,0.3230235369298638,-1.04889839680982,0.32330861176486725,0.32330861176486725
6417,112559.0,-11.75,-60.75,7,1.3410140264563413,0.8505841801424008,0.08824951994674363,0.6177466396272053,-0.4665122034754683,0.3557555856970691,0.3557555856970691
6418,112560.0,-11.75,-60.25,9,0.09313647673885761,0.08905106575343802,0.00923919582206565,0.08315276239859085,-2.11623119414412,0.26384339804849777,0.26384339804849777
6420,112562.0,-11.75,-59.25,16,0.10807545399862355,0.1026246852831776,0.010647481369110178,0.17035970190576286,-1.5762433092421901,0.29392819920905483,0.29392819920905483
6421,112563.0,-11.75,-58.75,28,0.12660572156690272,0.11920932607990915,0.012368165368377261,0.3463086303145633,-0.9887638037913014,0.3266589411415379,0.3266589411415379
6422,112564.0,-11.75,-58.25,10,0.9741247256296836,0.680125123224818,0.0705641099723506,0.7056410997235061,-0.34065671931804853,0.36276747859635017,0.36276747859635017
6423,112565.0,-11.75,-57.75,40,0.1285554910120397,0.12093848842988159,0.012547568831147405,0.5019027532458962,-0.6585711457337667,0.3450552436143996,0.3450552436143996
6424,112566.0,-11.75,-57.25,34,1.3569781159438625,0.8573803392031533,0.08895463272522572,3.0244575126576745,1.1926981240958205,0.4481965722158514,0.4481965722158514
6425,112567.0,-11.75,-56.75,117,0.27514705447318705,0.24306150880132268,0.025218034816562023,2.9505100735377567,1.164049213714214,0.44660043127196003,0.44660043127196003
6426,112568.0,-11.75,-56.25,11,0.3366106524932954,0.29013704590692785,0.030102199897211964,0.3311241988693316,-1.0275641104205953,0.3244972268835912,0.3244972268835912
6427,112569.0,-11.75,-55.75,7,42.79193454124846,3.7794496575321452,0.39212417268830185,2.744869208818113,1.0809756797894843,0.4419720853040052,0.4419720853040052
6428,112570.0,-11.75,-55.25,84,14.453348887581711,2.737825736333244,0.284053962641063,23.86053286184929,3.94997832977947,0.6018152533960746,0.6018152533960746
6429,112571.0,-11.75,-54.75,171,3.70014741165807,1.5475938724067355,0.1605654319711798,27.456688867071747,4.166435151975587,0.6138748951726654,0.6138748951726654
6430,112572.0,-11.75,-54.25,120,0.9683424293153382,0.6771917821298974,0.07025977096686443,8.431172516023732,2.4663896657846482,0.5191588249681536,0.5191588249681536
6431,112573.0,-11.75,-53.75,2,0.261359116492055,0.2321898035060935,0.024090077354261438,0.048180154708522875,-2.493812282202407,0.2428069039458876,0.2428069039458876
6432,112574.0,-11.75,-53.25,17,0.15726234843640347,0.14605717137255414,0.015153673862414504,0.25761245566104657,-1.240563377587277,0.31263021879096003,0.31263021879096003
6433,112575.0,-11.75,-52.75,90,0.25999939938024463,0.23111124428092739,0.023978175045145947,2.1580357540631354,0.8100923002031817,0.426880130761296,0.426880130761296
6434,112576.0,-11.75,-52.25,41,0.6253641019031719,0.48573185339304514,0.050395485697373225,2.0662149135923022,0.7620481890090831,0.4242034086113673,0.4242034086113673
6435,112577.0,-11.75,-51.75,7,1.3991049701140679,0.8750957386794042,0.09079263481360479,0.6355484436952336,-0.43982158318311476,0.35724262277104574,0.35724262277104574
